,Año,Compañia,Region,Retail Price,Search Engine,Free Shipping,S/Q Rating,Num Models,Brand Advertising,Celebrity Appeal,Brand Reputation,Online Orders,Pairs Sold,Market Share
46,19,E,LA,94.0,20000,1,9.3,450.0,30000,0,99,941,941,0.2124
0,20,A,NA,96.5,20000,1,10.0,100.0,30000,245,100,1187,1187,0.2325
1,20,B,NA,96.45,20000,1,9.0,500.0,30000,100,76,1233,1233,0.2415
2,20,C,NA,101.99,20000,1,9.9,398.9,0,85,83,690,690,0.1352
3,20,D,NA,106.5,20000,1,10.0,498.6,30000,60,100,1095,1095,0.2145
4,20,E,NA,95.5,20000,1,9.6,300.0,30000,0,100,900,900,0.1763
14,20,A,EA,96.5,20000,1,10.0,100.0,30000,250,100,1050,1050,0.2355
15,20,B,EA,97.45,20000,1,9.0,500.0,30000,130,76,1095,1095,0.2456
16,20,C,EA,101.99,1000,1,9.9,400.0,30000,65,83,656,656,0.1471
17,20,D,EA,109.0,20000,1,10.0,498.6,30000,50,100,904,904,0.2027
18,20,E,EA,97.5,20000,1,9.6,300.0,30000,0,100,754,754,0.1691
28,20,A,AP,96.5,20000,1,10.0,100.0,30000,230,100,1051,1051,0.2158
29,20,B,AP,93.95,20000,1,9.0,500.0,30000,160,76,1262,1262,0.2591
30,20,C,AP,101.99,20000,1,10.0,398.2,8000,60,83,685,685,0.1406
31,20,D,AP,105.0,20000,1,10.0,498.7,30000,60,100,1030,1030,0.2115
32,20,E,AP,93.5,20000,1,9.6,300.0,30000,0,100,843,843,0.1731
42,20,A,LA,96.5,20000,1,10.0,100.0,30000,190,100,1036,1036,0.2082
43,20,B,LA,89.55,20000,1,9.0,500.0,30000,165,76,1466,1466,0.2947
44,20,C,LA,102.99,20000,1,10.0,396.5,0,40,83,625,625,0.1256
45,20,D,LA,109.0,20000,1,10.0,498.6,30000,95,100,999,999,0.2008
46,20,E,LA,95.0,20000,1,9.6,300.0,30000,0,100,849,849,0.1707
