,Año,Compañia,Region,Offer Price,S/Q Rating,Pairs Offered,Pairs Sold,Market Share
28,15,A,AP,0.0,0.0,0,0,0.0
29,15,B,AP,51.0,5.4,724,491,0.268
30,15,C,AP,0.0,0.0,0,0,0.0
31,15,D,AP,49.9,5.0,632,632,0.344
32,15,E,AP,51.0,5.5,712,712,0.388
42,15,A,LA,0.0,0.0,0,0,0.0
43,15,B,LA,56.5,5.9,724,724,0.395
44,15,C,LA,0.0,0.0,0,0,0.0
45,15,D,LA,0.0,0.0,0,0,0.0
46,15,E,LA,55.0,5.5,593,593,0.323
0,16,A,NA,0.0,0.0,0,0,0.0
1,16,B,NA,56.0,7.0,729,544,0.297
2,16,C,NA,75.0,5.9,732,0,0.0
3,16,D,NA,49.99,5.0,572,572,0.313
4,16,E,NA,52.0,6.0,714,714,0.39
14,16,A,EA,0.0,0.0,0,0,0.0
15,16,B,EA,52.0,5.6,724,724,0.396
16,16,C,EA,75.0,5.7,732,0,0.0
17,16,D,EA,49.99,5.0,381,381,0.208
18,16,E,EA,54.0,6.0,724,724,0.396
28,16,A,AP,0.0,0.0,0,0,0.0
29,16,B,AP,51.0,5.5,812,812,0.399
30,16,C,AP,75.0,5.8,815,0,0.0
31,16,D,AP,49.99,5.0,735,735,0.361
32,16,E,AP,53.0,6.0,813,488,0.24
42,16,A,LA,0.0,0.0,0,0,0.0
43,16,B,LA,56.5,5.7,811,811,0.399
44,16,C,LA,75.0,5.9,815,0,0.0
45,16,D,LA,0.0,0.0,0,0,0.0
46,16,E,LA,56.5,6.0,806,806,0.396
0,17,A,NA,44.99,5.0,987,798,0.4
1,17,B,NA,53.0,6.0,595,403,0.202
2,17,C,NA,55.0,6.0,789,0,0.0
3,17,D,NA,53.99,5.0,731,0,0.0
4,17,E,NA,52.0,6.0,794,794,0.398
14,17,A,EA,44.99,5.0,982,798,0.4
15,17,B,EA,52.0,5.1,794,411,0.206
16,17,C,EA,51.0,6.0,786,785,0.393
17,17,D,EA,52.99,5.0,784,0,0.0
18,17,E,EA,54.0,6.0,794,0,0.0
28,17,A,AP,44.99,5.0,991,904,0.4
29,17,B,AP,51.09,5.1,893,0,0.0
30,17,C,AP,53.0,6.1,898,0,0.0
31,17,D,AP,49.99,5.0,882,882,0.39
32,17,E,AP,50.5,6.0,903,474,0.21
42,17,A,LA,44.99,5.0,979,904,0.4
43,17,B,LA,56.5,5.1,893,0,0.0
44,17,C,LA,55.0,6.0,875,525,0.232
45,17,D,LA,54.99,5.0,831,831,0.368
46,17,E,LA,56.5,6.0,893,0,0.0
0,18,A,NA,40.0,5.0,871,870,0.4
1,18,B,NA,52.35,6.0,838,0,0.0
2,18,C,NA,50.99,6.0,871,470,0.216
3,18,D,NA,44.98,5.0,835,835,0.384
4,18,E,NA,52.0,6.2,868,0,0.0
14,18,A,EA,40.0,5.0,871,870,0.4
15,18,B,EA,52.0,5.5,868,0,0.0
16,18,C,EA,50.99,6.2,763,474,0.218
17,18,D,EA,44.98,5.0,831,831,0.382
18,18,E,EA,51.0,6.2,863,0,0.0
28,18,A,AP,40.0,5.0,992,992,0.395
29,18,B,AP,50.45,5.5,967,0,0.0
30,18,C,AP,50.99,6.0,690,0,0.0
31,18,D,AP,44.98,5.0,831,831,0.331
32,18,E,AP,49.0,6.1,992,687,0.274
