,Año,Compañia,Region,Wholesale Price,S/Q Rating,Num Models,Brand Advertising,Rebate Offer,Delivery Time,Retailer Support,Retail Outlets,Celebrity Appeal,Brand Reputation,Pairs Demanded,Gained Stockouts,Pairs Sold,Market Share
2,14,C,NA,64.0,6.2,396.6,11000,5,2,4000,1181,40,79,2310,0,2310,0.2005
3,14,D,NA,75.0,10.0,300.0,10500,5,2,4500,986,160,71,1603,0,1603,0.1391
4,14,E,NA,68.25,7.4,350.0,11500,5,2,4750,1171,230,71,2308,0,2308,0.2003
14,14,A,EA,78.0,9.7,100.0,24500,5,1,7000,5204,50,100,3157,12,3169,0.3189
15,14,B,EA,70.0,5.6,307.2,9000,5,3,4000,957,0,84,1258,5,1263,0.1271
16,14,C,EA,67.3,5.9,304.9,11500,5,2,4500,1396,85,79,1817,-32,1785,0.1796
17,14,D,EA,74.0,10.0,300.0,9000,5,3,4500,960,145,71,1508,6,1514,0.1524
18,14,E,EA,68.5,7.4,350.0,11000,5,3,6250,1756,215,71,2196,9,2205,0.2219
28,14,A,AP,80.28,10.0,100.0,25500,5,1,7000,4947,60,100,2562,0,2562,0.2993
29,14,B,AP,66.0,6.6,450.0,8000,5,2,3000,705,0,84,1618,0,1618,0.189
30,14,C,AP,61.0,6.0,300.0,9500,5,3,3000,730,60,79,1446,0,1446,0.1689
31,14,D,AP,75.0,10.0,300.0,9000,5,2,4250,1288,155,71,1286,0,1286,0.1502
32,14,E,AP,69.5,7.4,350.0,10000,5,2,3250,830,235,71,1648,0,1648,0.1925
42,14,A,LA,83.27,9.6,100.0,24000,5,1,6000,4346,95,100,2605,27,2632,0.2984
43,14,B,LA,70.0,6.3,395.7,7500,5,3,3000,992,0,84,1529,16,1545,0.1752
44,14,C,LA,66.6,6.0,329.5,9000,5,3,3000,802,100,79,1723,-20,1703,0.1931
45,14,D,LA,75.0,10.0,300.0,7500,5,3,3250,662,100,71,1236,13,1249,0.1416
46,14,E,LA,70.9,7.4,350.0,9500,5,3,3000,601,195,71,1727,-36,1691,0.1917
0,15,A,NA,85.0,10.0,100.0,25500,5,1,7250,4694,195,100,3423,0,3423,0.2877
1,15,B,NA,71.5,7.9,500.0,11000,5,2,4000,1688,40,70,2047,0,2047,0.1721
2,15,C,NA,75.0,6.3,481.4,14000,5,2,4000,1032,0,78,1730,0,1730,0.1454
3,15,D,NA,80.0,10.0,450.0,10500,4,1,4500,1516,85,94,1960,0,1960,0.1648
4,15,E,NA,71.5,8.2,450.0,16000,6,2,5250,1522,170,76,2736,0,2736,0.23
14,15,A,EA,80.0,10.0,100.0,25000,5,1,7250,5598,175,100,3513,0,3513,0.3421
15,15,B,EA,75.5,6.8,434.0,10000,5,3,4000,854,85,70,1271,0,1271,0.1238
16,15,C,EA,78.0,6.3,465.9,12000,5,2,4000,1208,0,78,1314,0,1314,0.128
17,15,D,EA,80.0,10.0,450.0,9000,4,2,4500,1409,65,94,1537,0,1537,0.1497
18,15,E,EA,71.5,8.2,450.0,16000,5,2,6500,2290,170,76,2634,0,2634,0.2565
28,15,A,AP,81.0,10.0,100.0,26000,5,1,7250,5462,255,100,3142,0,3142,0.346
29,15,B,AP,71.5,7.5,500.0,9500,5,2,3000,765,60,70,1427,0,1427,0.1571
30,15,C,AP,70.0,6.4,408.9,12000,5,2,3000,638,0,78,1220,0,1220,0.1343
31,15,D,AP,81.0,10.0,450.0,9000,4,1,4500,1462,60,94,1337,0,1337,0.1472
32,15,E,AP,71.5,8.2,450.0,17000,6,2,3750,891,135,76,1955,0,1955,0.2153
42,15,A,LA,84.0,10.0,100.0,24500,5,1,7250,4958,220,100,3308,130,3438,0.3705
43,15,B,LA,75.5,7.3,450.7,9500,5,3,3000,871,100,70,1502,263,1765,0.1902
44,15,C,LA,72.0,6.5,413.5,9000,5,3,3000,706,0,78,1355,-443,912,0.0983
45,15,D,LA,81.0,10.0,346.1,7500,4,2,4000,891,40,94,1101,192,1293,0.1393
46,15,E,LA,73.0,8.2,450.0,13000,5,3,3000,660,130,76,2014,-142,1872,0.2017
0,16,A,NA,74.0,10.0,100.0,30000,5,1,7250,5333,235,100,4491,0,4491,0.3628
1,16,B,NA,71.5,8.7,500.0,15000,5,2,5500,1453,125,71,2081,0,2081,0.1681
2,16,C,NA,77.0,6.4,488.9,14000,8,1,4000,911,70,70,1661,0,1661,0.1342
3,16,D,NA,85.0,10.0,450.0,26000,4,1,4750,1897,0,97,1750,0,1750,0.1414
4,16,E,NA,74.5,8.5,450.0,22000,6,2,6000,2273,60,98,2397,0,2397,0.1936
14,16,A,EA,74.0,10.0,100.0,30000,5,1,7250,6048,195,100,3945,0,3945,0.3609
15,16,B,EA,75.5,7.5,500.0,15000,5,3,5500,752,150,71,1477,0,1477,0.1351
16,16,C,EA,78.0,6.1,422.1,11500,5,2,4000,1041,100,70,1122,0,1122,0.1027
17,16,D,EA,81.0,9.9,467.5,23000,4,1,4750,1588,0,97,1642,0,1642,0.1502
18,16,E,EA,74.5,8.5,450.0,22000,5,2,7000,3730,50,98,2744,0,2744,0.2511
28,16,A,AP,70.0,10.0,100.0,30000,5,1,7250,5904,260,100,4143,0,4143,0.4158
29,16,B,AP,71.5,7.7,500.0,15000,5,2,5500,699,120,71,1452,0,1452,0.1457
30,16,C,AP,78.0,7.3,500.0,12000,8,1,3000,613,70,70,1205,0,1205,0.1209
31,16,D,AP,83.0,9.9,490.0,25000,4,1,4750,1762,0,97,1473,0,1473,0.1478
32,16,E,AP,73.5,8.5,450.0,23000,6,2,4500,1220,60,98,1691,0,1691,0.1697
42,16,A,LA,73.0,10.0,100.0,30000,5,1,7250,6211,200,100,4299,0,4299,0.425
43,16,B,LA,75.5,7.6,500.0,15000,5,3,5500,777,140,71,1525,0,1525,0.1508
44,16,C,LA,80.0,7.0,435.6,9000,10,1,3000,613,55,70,1272,0,1272,0.1258
45,16,D,LA,85.0,10.0,349.4,28000,4,2,4250,1237,0,97,1229,0,1229,0.1215
46,16,E,LA,76.5,8.5,450.0,20000,5,2,3750,710,95,98,1790,0,1790,0.177
0,17,A,NA,70.0,10.0,100.0,30000,5,1,8750,6050,235,100,4527,0,4527,0.3336
1,17,B,NA,64.5,9.7,500.0,25000,4,2,8000,1817,125,73,2594,0,2594,0.1912
2,17,C,NA,74.5,8.0,424.8,25500,6,1,5000,962,70,69,1547,0,1547,0.114
3,17,D,NA,79.0,9.9,486.2,30000,5,1,8250,1814,0,97,1882,0,1882,0.1387
4,17,E,NA,64.5,8.7,450.0,30000,7,2,7000,2202,60,96,3020,0,3020,0.2225
14,17,A,EA,70.0,10.0,100.0,30000,5,1,8750,6045,195,100,3591,0,3591,0.2978
15,17,B,EA,63.9,9.0,500.0,25000,4,2,8000,1133,150,73,2185,0,2185,0.1812
16,17,C,EA,75.0,8.5,368.3,24000,6,2,5000,906,100,69,1033,0,1033,0.0857
17,17,D,EA,78.0,9.9,492.3,30000,5,1,8250,1898,0,97,1623,0,1623,0.1346
18,17,E,EA,64.5,8.8,450.0,30000,6,2,7500,4329,50,96,3627,0,3627,0.3008
28,17,A,AP,70.0,10.0,100.0,30000,5,1,8750,6352,260,100,3876,0,3876,0.3443
29,17,B,AP,64.5,8.9,500.0,25000,4,2,8000,1524,120,73,2022,0,2022,0.1796
30,17,C,AP,72.0,7.9,448.3,24000,5,2,4750,689,70,69,1254,0,1254,0.1114
31,17,D,AP,77.0,9.9,497.5,30000,4,1,8250,1809,0,97,1642,0,1642,0.1458
32,17,E,AP,63.0,8.7,450.0,30000,7,2,6500,1292,60,96,2465,0,2465,0.2189
42,17,A,LA,70.0,10.0,100.0,30000,5,1,8750,6356,200,100,4076,0,4076,0.3481
43,17,B,LA,64.5,8.5,500.0,25000,4,2,8000,1188,140,73,2341,0,2341,0.1999
44,17,C,LA,75.0,8.1,393.1,13000,5,2,4250,704,55,69,960,0,960,0.082
45,17,D,LA,79.0,9.9,468.7,30000,5,1,8250,1242,0,97,1694,0,1694,0.1447
46,17,E,LA,65.0,8.8,450.0,30000,5,2,7000,1045,95,96,2639,0,2639,0.2254
0,18,A,NA,66.0,10.0,100.0,30000,5,1,8500,6348,245,100,4571,0,4571,0.3264
1,18,B,NA,68.99,9.0,500.0,30000,4,2,2750,4099,100,79,2597,0,2597,0.1854
2,18,C,NA,70.0,9.5,292.2,30000,6,2,5000,1391,0,79,1269,0,1269,0.0906
3,18,D,NA,77.0,9.9,495.8,30000,5,1,6000,4107,145,97,2690,0,2690,0.1921
4,18,E,NA,65.0,9.0,450.0,30000,7,1,8000,3385,0,100,2879,0,2879,0.2056
14,18,A,EA,66.0,10.0,100.0,30000,5,1,8500,5901,250,100,3567,11,3578,0.29
15,18,B,EA,69.45,8.5,500.0,30000,4,2,2750,3434,130,79,1996,6,2002,0.1622
16,18,C,EA,70.0,9.5,200.1,30000,6,2,5000,1134,0,79,1020,-36,984,0.0797
17,18,D,EA,76.0,9.9,497.7,30000,5,1,6000,4229,115,97,2338,7,2345,0.19
18,18,E,EA,65.0,9.2,450.0,30000,6,1,8500,5069,0,100,3419,11,3430,0.278
28,18,A,AP,66.0,10.0,100.0,30000,5,1,8500,6340,230,100,3855,17,3872,0.3135
29,18,B,AP,66.95,9.0,500.0,30000,4,2,2750,3748,160,79,2419,10,2429,0.1967
30,18,C,AP,70.0,9.6,250.0,30000,5,2,5000,1028,0,79,1013,4,1017,0.0823
31,18,D,AP,75.0,9.9,499.3,30000,4,1,6000,4333,120,97,2546,-42,2504,0.2028
32,18,E,AP,63.5,9.0,450.0,30000,7,1,8000,2879,0,100,2517,11,2528,0.2047
42,18,A,LA,66.0,10.0,100.0,30000,5,1,8500,6362,190,100,4024,0,4024,0.3209
43,18,B,LA,66.95,8.9,500.0,30000,4,2,2750,3604,165,79,2618,0,2618,0.2088
44,18,C,LA,70.0,9.6,216.7,11500,5,2,4250,810,0,79,756,0,756,0.0603
45,18,D,LA,77.0,9.9,492.4,30000,5,1,6000,3772,135,97,2387,0,2387,0.1904
46,18,E,LA,65.0,9.2,450.0,30000,5,1,8500,3468,0,100,2755,0,2755,0.2197
0,19,A,NA,68.0,10.0,100.0,30000,5,1,7000,6060,245,100,4391,114,4505,0.3121
